ID,Name,Address,lat,lng,,,open,close,open_time_min,close_time_min,,time_to_spend,,
1000180,狸谷山不動院不動明王像,左京区一乗寺松原町6,35.042518,135.7993949,900,1600,9:00:00,16:00:00,540,960,60,60,,
1000181,長講堂木造後白河法皇像,下京区富小路通五条下る本塩竃町528,34.9940134,135.7639024,,,0:00:00,0:00:00,,,,,,
1000182,天授庵絹本著色細川幽斎像同夫人像,左京区南禅寺福地町,35.010271,135.7917992,900,1700,9:00:00,17:00:00,540,1020,30,30,,
1000184,仁和寺絹本著色孔雀明王像,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20,,
1000185,仁和寺黄帝内経明堂・黄帝内経太素,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20,,
1000186,仁和寺三十帖冊子,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20,,
1000187,仁和寺新修本草,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20,,
1000188,仁和寺宝相華蒔絵宝珠箱,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20,,
1000189,仁和寺木造阿弥陀如来及両脇侍像,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20,,
1000191,平等寺木造釈迦如来立像,下京区松原通烏丸東入因幡堂町728,34.9996162,135.760386,,,0:00:00,0:00:00,,,,,,
1000192,平等寺木造如意輪観音坐像,下京区松原通烏丸東入因幡堂町728,34.9996162,135.760386,,,0:00:00,0:00:00,,,,,,
1000193,平等寺木造薬師如来立像,下京区松原通烏丸東入因幡堂町728,34.9996162,135.760386,,,0:00:00,0:00:00,,,,,,
1000194,藤森神社紫糸威大鎧,伏見区深草鳥居崎町609,34.950598,135.7718336,,,0:00:00,0:00:00,,,,,,
1000195,峰定寺木造金剛力士立像,左京区花背原地町772,35.1584607,135.7861724,,,0:00:00,0:00:00,,,,,,
1000196,峰定寺木造釈迦如来立像,左京区花背原地町772,35.1584607,135.7861724,900,1600,9:00:00,16:00:00,540,960,30,30,,
1000197,峰定寺木造十一面千手観音坐像,左京区花背原地町772,35.1584607,135.7861724,900,1600,9:00:00,16:00:00,540,960,30,30,,
1000198,峰定寺木造毘沙門天立像,左京区花背原地町772,35.1584607,135.7861724,900,1600,9:00:00,16:00:00,540,960,30,30,,
1000199,峰定寺木造不動明王及二童子立像,左京区花背原地町722,35.1584607,135.7861724,900,1600,9:00:00,16:00:00,540,960,30,30,,
1000200,補陀洛寺小町老衰像,左京区静市市原町1140,35.0853004,135.7617617,900,1700,9:00:00,17:00:00,540,1020,30,30,,
1000201,補陀洛寺三相変図,左京区静市市原町1140,35.0853004,135.7617617,900,1700,9:00:00,17:00:00,540,1020,30,30,,
1000202,佛光寺木造聖徳太子立像,下京区高倉通仏光寺下る新開町397,35.0007636,135.762233,,,0:00:00,0:00:00,,,,,,
1000203,南岩倉明王院不動寺空海作「石像不動明王」,下京区松原通麩屋町東入石不動之町675,34.9988789,135.7655575,700,2000,7:00:00,20:00:00,420,1200,3,3,,
2000027,貴船神社の桂,左京区鞍馬貴船町180,35.1225341,135.763198,,,0:00:00,0:00:00,,,,,,
2000028,桂春院のくろがねもち,花園妙心寺町,35.0232858,135.7207169,,,0:00:00,0:00:00,,,,,,
1000204,遍照寺木造十一面観音立像,右京区嵯峨広沢西裏町14,35.0235914,135.689189,1000,1600,10:00:00,16:00:00,600,960,20,20,,
1000205,法観寺紙本著色八坂塔絵図,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000206,法金剛院木造地蔵菩薩立像,右京区花園扇野町49,35.0191409,135.7156951,900,1600,9:00:00,16:00:00,540,960,30,30,,
1000207,法金剛院木造僧形文殊坐像,右京区花園扇野町49,35.0191409,135.7156951,900,1600,9:00:00,16:00:00,540,960,30,30,,
1000208,法輪寺木造持国天・多聞天立像,西京区嵐山虚空蔵山町,35.0094554,135.67664,,,0:00:00,0:00:00,,,,,,
1000209,曼殊院絹本著色不動明王像,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000210,曼殊院古今和歌集,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000211,妙心寺黄鐘調の鐘,右京区花園妙心寺町1,35.0213991,135.7190799,910,1640,9:10:00,16:40:00,550,1000,30,30,,
1000212,矢田寺紙本著色矢田地蔵縁起,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000213,蓮光寺駒止地蔵菩薩像,下京区富小路通六条下る本塩竃町534,34.994127,135.7639556,1000,1600,10:00:00,16:00:00,600,960,10,10,,
1000214,蓮光寺阿弥陀如来像,下京区富小路通六条下る本塩竃町534,34.994127,135.7639556,1000,1600,10:00:00,16:00:00,600,960,10,10,,
1000215,廬山寺絹本著色普賢十羅刹女像,上京区寺町通広小路上る北ノ辺町397,35.0245619,135.768324,1000,1600,10:00:00,16:00:00,600,960,10,10,,
1000216,廬山寺慈恵大師自筆遺告,上京区寺町通広小路上る北ノ辺町397,35.0245619,135.768324,1000,1600,10:00:00,16:00:00,600,960,10,10,,
1000217,廬山寺木造如意輪観音半跏像,上京区寺町通広小路上る北ノ辺町397,35.0245619,135.768324,1000,1600,10:00:00,16:00:00,600,960,10,10,,
1000218,知恩院濡髪大明神,東山区林下町400,35.0061608,135.783806,1000,1600,10:00:00,16:00:00,600,960,10,10,,
2000001,嵐山・渡月橋畔の榎,京都市右京区嵯峨天龍寺芒ノ馬場町,35.0154433,135.6745703,1000,1600,10:00:00,16:00:00,600,960,10,10,,
2000002,一言寺の梅,醍醐南里町,34.9461879,135.8152204,1000,1600,10:00:00,16:00:00,600,960,10,10,,
2000003,新日吉神宮のおがたまのき,今熊野日吉町,34.9869392,135.7790559,,,0:00:00,0:00:00,,,,,,
2000004,今宮神社のむくろじ,紫野今宮町,35.045964,135.7417344,,,0:00:00,0:00:00,,,,,,
2000005,永観堂の岩垣紅葉,浄土寺永観堂町48,35.0148592,135.7941845,,,0:00:00,0:00:00,,,,,,
2000008,大原野神社の椎,大原野春日町,34.966066,135.6456036,,,0:00:00,0:00:00,,,,,,
2000009,大原野神社の樅,大原野春日町,34.966066,135.6456036,,,0:00:00,0:00:00,,,,,,
2000031,護王神社のかりん,京都府京都市上京区小川通出水下る,35.0212004,135.7542082,,,0:00:00,0:00:00,,,,,,
2000011,御室桜,京都市右京区御室大内33,35.0293057,135.7142433,,,0:00:00,0:00:00,,,,,,
2000012,上賀茂神社のいちいがし,上賀茂本山町,35.0670141,135.7592067,,,0:00:00,0:00:00,,,,,,
2000013,上賀茂神社の椋,上賀茂本山340,35.0598363,135.7584656,,,0:00:00,0:00:00,,,,,,
2000014,賀茂社の紋幹の椎,上賀茂本山町,35.0670141,135.7592067,,,0:00:00,0:00:00,,,,,,
2000015,賀茂の枝垂桜,上賀茂本山,35.0670141,135.7592067,,,0:00:00,0:00:00,,,,,,
2000016,勧修寺のはいびゃくしん,山科勧修寺仁王堂町,34.9612935,135.8081039,,,0:00:00,0:00:00,,,,,,
2000017,北野天満宮、梅苑の大むく,京都府京都市上京区馬喰町,35.0299253,135.735813,1000,1600,10:00:00,16:00:00,600,960,,33,,
