ID,0,1,2,3,4
98,2000012.0,上賀茂神社のいちいがし,上賀茂本山町,35.0670141,135.7592067
99,2000013.0,上賀茂神社の椋,上賀茂本山340,35.0598363,135.7584656
100,2000014.0,賀茂社の紋幹の椎,上賀茂本山町,35.0670141,135.7592067
101,2000015.0,賀茂の枝垂桜,上賀茂本山,35.0670141,135.7592067
102,2000016.0,勧修寺のはいびゃくしん,山科勧修寺仁王堂町,34.9612935,135.8081039
103,2000017.0,北野天満宮、梅苑の大むく,京都府京都市上京区馬喰町,35.0299253,135.735813
104,2000018.0,北野天満宮しらがしの森,京都府京都市上京区馬喰町,35.0299253,135.735813
105,2000019.0,北野天満宮の大けやき,京都府京都市上京区馬喰町,35.0299253,135.735813
106,2000020.0,北野天満宮の大椎,京都府京都市上京区馬喰町,35.0299253,135.735813
107,2000021.0,北野天満宮の双幹鹿子の木,京都府京都市上京区馬喰町,35.0299253,135.735813
108,2000022.0,北野天満宮東門の椋,京都府京都市上京区馬喰町,35.0299253,135.735813
109,2000023.0,貴船神社奥宮相生大杉,鞍馬貴船町180,35.1225341,135.763198
110,2000024.0,貴船神社奥宮の桂,鞍馬貴船町180,35.1225341,135.763198
111,2000025.0,貴船神社奥宮の杉並木,鞍馬貴船町180,35.1225341,135.763198
112,2000032.0,御香宮のおそらく椿,京都市伏見区御香宮門前町174,34.93474010000001,135.767274
113,2000033.0,御香宮の蘇鉄,京都市伏見区御香宮門前町174,34.93474010000001,135.767274
114,2000034.0,越畑の相生桜,京都府京都市右京区嵯峨越畑加鍋浦82,35.0890168,135.6066154
115,2000035.0,古知谷のかえで,大原古知平町,35.1349968,135.8398398
116,2000036.0,金地院裏のくろがねもち,南禅寺福地町,35.010271,135.7917992
117,2000037.0,金地院の椎,南禅寺福地町,35.010271,135.7917992
118,2000038.0,嵯峨・兒神社のつぶらしい,嵯峨釣殿町,35.0271064,135.6872857
119,2000039.0,嵯峨・曇華院の日光,嵯峨北堀町25,35.0156426,135.6841748
120,2000040.0,雑華院の老桧,花園妙心寺町55,35.0235143,135.7211564
121,2000041.0,三宝院の枝垂桜,醍醐伽藍町,34.9509617,135.8226345
122,2000042.0,慈照寺（銀閣寺）の椿垣,京都市左京区銀閣寺町2,35.0268641,135.7982694
123,2000055.0,善峯寺の遊龍の松,京都市西京区大原野小塩町1372,34.9380666,135.644566
124,2000056.0,千本釈迦堂のくろがねもち,溝前町,35.031753,135.7401059
125,2000043.0,慈照寺の千代の槙,京都市左京区銀閣寺町2,35.0268641,135.7982694
126,2000044.0,地蔵院（椿寺）五色八重散椿,大将軍西町41番地,35.0254438,135.7306142
127,2000045.0,十輪寺の大樟,大原野小塩町,34.9349741,135.6456036
128,2000046.0,青蓮院の大楠,粟田口三条坊町９,35.00773119999999,135.7832045
129,2000047.0,白峯神宮の小賀玉の木,今出川通堀川東入飛鳥井町,35.0299448,135.7531351
130,2000049.0,真如堂の大しゃしゃんぽ,京都市左京区浄土寺真如町82,35.0220237,135.7883723
131,2000050.0,真如堂の百日紅,京都市左京区浄土寺真如町82,35.0220237,135.7883723
132,2000051.0,真如堂の立皮桜,京都市左京区浄土寺真如町82,35.0220237,135.7883723
133,2000052.0,真如堂の花の木,京都市左京区浄土寺真如町82,35.0220237,135.7883723
134,2000053.0,真如堂の菩提樹,浄土寺真如町82,35.0220237,135.7883723
135,2000089.0,水火天満宮　菅公影向松,上京区堀川通上御霊前上る扇町722-10,35.0367376,135.7520176
136,2000057.0,総見院の胡蝶佗助,京都市北区紫野大徳寺町59,35.0441793,135.7447323
137,2000058.0,疏水岸の桜,山科四宮桝山町,34.9918011,135.8241318
138,2000062.0,大徳寺の柏槙,京都市北区紫野大徳寺町,35.0435884,135.7432148
139,2000063.0,対龍山荘のはぜのき,南禅寺福池町,35.0114138,135.7944841
140,2000066.0,糺の森の椎,下鴨宮崎町,35.0366396,135.7692784
141,2000067.0,糺の森の椋,下鴨宮崎町,35.0366396,135.7692784
142,2000068.0,知恩院参道のむくろじ,東山区林下町400,35.0061608,135.783806
143,2000069.0,道風神社の榊,京都市北区杉阪道風町１,35.0915173,135.7034067
144,2000070.0,東北院のさざんか,浄土寺真如町,35.0214122,135.7894281
145,2000071.0,東北院の軒端の梅,浄土寺真如町,35.0214122,135.7894281
146,2000073.0,南禅寺の白檀,南禅寺福地町,35.010271,135.7917992
