ID,Name,Address,lat,lng,,,open,close,open_time_min,close_time_min,,time_to_spend
1000216,廬山寺慈恵大師自筆遺告,上京区寺町通広小路上る北ノ辺町397,35.0245619,135.768324,1000,1600,10:00:00,16:00:00,600,960,10,10
1000217,廬山寺木造如意輪観音半跏像,上京区寺町通広小路上る北ノ辺町397,35.0245619,135.768324,1000,1600,10:00:00,16:00:00,600,960,10,10
1000218,知恩院濡髪大明神,東山区林下町400,35.0061608,135.783806,1000,1600,10:00:00,16:00:00,600,960,10,10
2000001,嵐山・渡月橋畔の榎,京都市右京区嵯峨天龍寺芒ノ馬場町,35.0154433,135.6745703,1000,1600,10:00:00,16:00:00,600,960,10,10
2000002,一言寺の梅,醍醐南里町,34.9461879,135.8152204,1000,1600,10:00:00,16:00:00,600,960,10,10
2000017,北野天満宮、梅苑の大むく,京都府京都市上京区馬喰町,35.0299253,135.735813,1000,1600,10:00:00,16:00:00,600,960,,33
2000022,北野天満宮東門の椋,京都府京都市上京区馬喰町,35.0299253,135.735813,500,1800,5:00:00,18:00:00,300,1080,,33
2000041,三宝院の枝垂桜,醍醐伽藍町,34.9509617,135.8226345,900,1700,9:00:00,17:00:00,540,1020,30,30
2000042,慈照寺（銀閣寺）の椿垣,京都市左京区銀閣寺町2,35.0268641,135.7982694,830,1700,8:30:00,17:00:00,510,1020,40,40
2000043,慈照寺の千代の槙,京都市左京区銀閣寺町2,35.0268641,135.7982694,830,1700,8:30:00,17:00:00,510,1020,40,40
2000044,地蔵院（椿寺）五色八重散椿,大将軍西町41番地,35.0254438,135.7306142,900,1600,9:00:00,16:00:00,540,960,10,10
2000045,十輪寺の大樟,大原野小塩町,34.9349741,135.6456036,900,1700,9:00:00,17:00:00,540,1020,30,30
2000089,水火天満宮菅公影向松,上京区堀川通上御霊前上る扇町722-10,35.0367376,135.7520176,500,1800,5:00:00,18:00:00,300,1080,30,30
2000075,平岡八幡宮の椎,梅ケ畑宮ノ口町,35.0403548,135.6874336,1000,1600,10:00:00,16:00:00,600,960,,33
2000076,平野神社の草花と樹木,平野宮本町,35.0320427,135.7325566,600,1700,6:00:00,17:00:00,360,1020,,33
2000077,宝鏡寺の熊谷と月光と村娘,京都市上京区寺之内通堀川東入百々町547,35.0343534,135.7527001,1000,1600,10:00:00,16:00:00,600,960,30,30
2000084,妙蓮寺の妙蓮寺椿,寺之内大宮東妙蓮寺前町875,35.0342135,135.7500255,1000,1600,10:00:00,16:00:00,600,960,30,30
2000086,霊鑑寺の紅梅,鹿ケ谷御所の段町,0,0,1000,1600,10:00:00,16:00:00,600,960,30,30
2000087,霊鑑寺の日光椿,鹿ケ谷御所の段町,0,0,1000,1600,10:00:00,16:00:00,600,960,30,30
2000088,北野天満宮影向松,上京区御前通今小路上る馬喰町,35.0299253,135.735813,500,1800,5:00:00,18:00:00,300,1080,30,30
7000011,名勝大沢池,右京区嵯峨大沢町４番地,35.0282995,135.6779455,600,1900,6:00:00,19:00:00,360,1140,45,45
7000064,知恩院紫雲水,東山区林下町400,35.0061608,135.783806,900,1630,9:00:00,16:30:00,540,990,,33
8000001,嵐山通船,南乗船場・京都市西京区嵐山山中町/北乗船場・京都市右京区嵯峨天竜寺芒ノ馬場町,35.009449,135.666773,900,1700,9:00:00,17:00:00,540,1020,30,30
8000022,知恩院七不思議,東山区林下町400,35.0061608,135.783806,900,1630,9:00:00,16:30:00,540,990,,33
8000026,嵯峨野トロッコ列車,京都市右京区嵯峨天龍寺車道町,35.0181575,135.680484,900,1730,9:00:00,17:30:00,540,1050,25,25
